Original Value,Encoded Value
031A,0
031B,1
033A,2
033B,3
041A,4
041B,5
051A,6
051B,7
1010,8
1020,9
1025,10
1030,11
1050,12
1055,13
1090,14
110,15
1110,16
1120,17
1121,18
1122,19
1130,20
1135,21
1140,22
1150,23
1151,24
1152,25
1153,26
1154,27
1155,28
1156,29
1170,30
1185,31
1195,32
1200,33
1205,34
1206,35
1210,36
1220,37
1240,38
1241,39
1242,40
1245,41
1261,42
130,43
1305,44
1310,45
1320,46
1330,47
1335,48
1340,49
1345,50
1350,51
1360,52
1365,53
1370,54
1375,55
141,56
141A,57
141B,58
141C,59
142,60
142A,61
1435,62
143A,63
143B,64
143C,65
1450,66
1460,67
1477,68
1478,69
1479,70
1480,71
1481,72
1505,73
1506,74
1507,75
1512,76
1513,77
1535,78
1536,79
1537,80
1540,81
1541,82
1544,83
1549,84
1562,85
1563,86
1564,87
1565,88
1566,89
1570,90
1580,91
1581,92
1582,93
1585,94
1590,95
1661,96
1670,97
1682,98
1710,99
1720,100
1725,101
1750,102
1751,103
1752,104
1753,105
1754,106
1755,107
1780,108
1790,109
1791,110
1792,111
1811,112
1812,113
1821,114
1822,115
1850,116
1900,117
2010,118
2011,119
2012,120
2013,121
2014,122
2015,123
2016,124
2017,125
2018,126
2019,127
2020,128
2021,129
2022,130
2023,131
2024,132
2025,133
2026,134
2027,135
2028,136
2029,137
2031,138
2032,139
2050,140
2070,141
2090,142
2091,143
2092,144
2093,145
2095,146
2110,147
2160,148
2170,149
2210,150
2220,151
2230,152
2250,153
261,154
263,155
264,156
265,157
266,158
271,159
273,160
275,161
281,162
2820,163
2825,164
2826,165
2830,166
2840,167
2850,168
2851,169
2860,170
2870,171
2890,172
2900,173
291,174
3000,175
3100,176
312,177
313,178
320,179
3200,180
325,181
326,182
330,183
3300,184
331,185
334,186
337,187
340,188
3710,189
3730,190
3731,191
3750,192
3760,193
3800,194
3910,195
3960,196
3966,197
3970,198
420,199
4210,200
4220,201
4230,202
4255,203
430,204
4310,205
4386,206
4387,207
4388,208
4389,209
440,210
450,211
452,212
453,213
454,214
460,215
461,216
462,217
4625,218
4650,219
4651,220
4652,221
470,222
475,223
479,224
4810,225
482,226
483,227
484,228
485,229
486,230
4860,231
487,232
488,233
495,234
496,235
497,236
498,237
5000,238
5001,239
5002,240
5003,241
5004,242
5007,243
5009,244
500E,245
500N,246
5011,247
5013,248
501A,249
502P,250
502R,251
502T,252
5110,253
5111,254
5112,255
5121,256
5122,257
5130,258
5131,259
5132,260
520,261
530,262
545,263
550,264
551,265
552,266
553,267
554,268
555,269
556,270
557,271
558,272
560,273
580,274
581,275
583,276
584,277
610,278
620,279
630,280
650,281
810,282
820,283
850,284
860,285
865,286
870,287
880,288
890,289
895,290
910,291
915,292
917,293
918,294
920,295
925,296
927,297
928,298
930,299
935,300
937,301
938,302
