Original Value,Encoded Value
0000X E 100TH PL,0
0000X E 100TH ST,1
0000X E 101ST PL,2
0000X E 101ST ST,3
0000X E 102ND PL,4
0000X E 102ND ST,5
0000X E 103RD PL,6
0000X E 103RD ST,7
0000X E 104TH ST,8
0000X E 105TH ST,9
0000X E 107TH ST,10
0000X E 108TH ST,11
0000X E 109TH ST,12
0000X E 110TH PL,13
0000X E 110TH ST,14
0000X E 111TH ST,15
0000X E 112TH PL,16
0000X E 112TH ST,17
0000X E 113TH PL,18
0000X E 113TH ST,19
0000X E 114TH ST,20
0000X E 115TH ST,21
0000X E 116TH ST,22
0000X E 117TH PL,23
0000X E 117TH ST,24
0000X E 118TH PL,25
0000X E 118TH ST,26
0000X E 119TH PL,27
0000X E 119TH ST,28
0000X E 11TH ST,29
0000X E 120TH PL,30
0000X E 120TH ST,31
0000X E 121ST PL,32
0000X E 121ST ST,33
0000X E 122ND PL,34
0000X E 122ND ST,35
0000X E 124TH PL,36
0000X E 124TH ST,37
0000X E 125TH PL,38
0000X E 126TH ST,39
0000X E 127TH ST,40
0000X E 13TH ST,41
0000X E 14TH PL,42
0000X E 14TH ST,43
0000X E 16TH ST,44
0000X E 21ST ST,45
0000X E 23RD ST,46
0000X E 24TH ST,47
0000X E 25TH ST,48
0000X E 26TH ST,49
0000X E 28TH ST,50
0000X E 29TH ST,51
0000X E 31ST ST,52
0000X E 32ND ST,53
0000X E 35TH ST,54
0000X E 36TH PL,55
0000X E 36TH ST,56
0000X E 37TH ST,57
0000X E 38TH ST,58
0000X E 41ST ST,59
0000X E 42ND ST,60
0000X E 43RD ST,61
0000X E 44TH ST,62
0000X E 45TH ST,63
0000X E 46TH ST,64
0000X E 47TH ST,65
0000X E 48TH ST,66
0000X E 49TH ST,67
0000X E 50TH ST,68
0000X E 51ST ST,69
0000X E 53RD ST,70
0000X E 56TH ST,71
0000X E 57TH ST,72
0000X E 58TH ST,73
0000X E 59TH ST,74
0000X E 60TH ST,75
0000X E 61ST ST,76
0000X E 63RD ST,77
0000X E 66TH ST,78
0000X E 68TH ST,79
0000X E 69TH ST,80
0000X E 70TH ST,81
0000X E 71ST ST,82
0000X E 72ND ST,83
0000X E 73RD ST,84
0000X E 74TH ST,85
0000X E 75TH ST,86
0000X E 76TH ST,87
0000X E 77TH ST,88
0000X E 78TH ST,89
0000X E 79TH ST,90
0000X E 80TH ST,91
0000X E 81ST ST,92
0000X E 82ND ST,93
0000X E 83RD ST,94
0000X E 84TH ST,95
0000X E 85TH ST,96
0000X E 87TH ST,97
0000X E 88TH ST,98
0000X E 89TH PL,99
0000X E 89TH ST,100
0000X E 8TH ST,101
0000X E 8th St,102
0000X E 90TH ST,103
0000X E 91ST ST,104
0000X E 94TH ST,105
0000X E 95TH ST,106
0000X E 98TH PL,107
0000X E 98TH ST,108
0000X E 99TH PL,109
0000X E 9TH ST,110
0000X E 9th St,111
0000X E ADAMS ST,112
0000X E BALBO AVE,113
0000X E BANKS ST,114
0000X E BELLEVUE PL,115
0000X E BENTON PL,116
0000X E BRAYTON ST,117
0000X E Bellevue Pl,118
0000X E CEDAR ST,119
0000X E CERMAK RD,120
0000X E CHESTNUT ST,121
0000X E CHICAGO AVE,122
0000X E CONGRESS PKWY,123
0000X E CULLERTON ST,124
0000X E DELAWARE PL,125
0000X E DIVISION ST,126
0000X E ELM ST,127
0000X E ERIE ST,128
0000X E GARFIELD BLVD,129
0000X E GOETHE ST,130
0000X E GRAND AVE,131
0000X E Grand Ave,132
0000X E HADDOCK PL,133
0000X E HARRISON ST,134
0000X E HUBBARD ST,135
0000X E HURON ST,136
0000X E Hubbard St,137
0000X E IDA B WELLS DR,138
0000X E ILLINOIS ST,139
0000X E JACKSON BLVD,140
0000X E KINZIE ST,141
0000X E LAKE ST,142
0000X E LOWER WACKER DR,143
0000X E LOWER WACKER PL,144
0000X E Lake st,145
0000X E MADISON ST,146
