Original Value,Encoded Value
ABANDONED BUILDING,0
AIRCRAFT,1
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,2
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,3
AIRPORT EXTERIOR - NON-SECURE AREA,4
AIRPORT EXTERIOR - SECURE AREA,5
AIRPORT PARKING LOT,6
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,7
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,8
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,9
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,10
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,11
AIRPORT TRANSPORTATION SYSTEM (ATS),12
AIRPORT VENDING ESTABLISHMENT,13
AIRPORT/AIRCRAFT,14
ALLEY,15
ANIMAL HOSPITAL,16
APARTMENT,17
APPLIANCE STORE,18
ATHLETIC CLUB,19
ATM (AUTOMATIC TELLER MACHINE),20
AUTO,21
AUTO / BOAT / RV DEALERSHIP,22
BANK,23
BANQUET HALL,24
BAR OR TAVERN,25
BARBER SHOP/BEAUTY SALON,26
BARBERSHOP,27
BASEMENT,28
BOAT / WATERCRAFT,29
BOWLING ALLEY,30
BRIDGE,31
CAR WASH,32
CEMETARY,33
CHA APARTMENT,34
CHA GROUNDS,35
CHA HALLWAY / STAIRWELL / ELEVATOR,36
CHA LOBBY,37
CHA PARKING LOT,38
CHA PARKING LOT / GROUNDS,39
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,40
CLEANING STORE,41
COIN OPERATED MACHINE,42
COLLEGE / UNIVERSITY - GROUNDS,43
COLLEGE / UNIVERSITY - RESIDENCE HALL,44
COMMERCIAL / BUSINESS OFFICE,45
CONSTRUCTION SITE,46
CONVENIENCE STORE,47
CREDIT UNION,48
"CTA ""L"" PLATFORM",49
"CTA ""L"" TRAIN",50
CTA BUS,51
CTA BUS STOP,52
CTA PARKING LOT / GARAGE / OTHER PROPERTY,53
CTA PLATFORM,54
CTA PROPERTY,55
CTA STATION,56
CTA TRACKS - RIGHT OF WAY,57
CTA TRAIN,58
CURRENCY EXCHANGE,59
DAY CARE CENTER,60
DEPARTMENT STORE,61
DRIVEWAY,62
DRIVEWAY - RESIDENTIAL,63
DRUG STORE,64
FACTORY / MANUFACTURING BUILDING,65
FARM,66
FEDERAL BUILDING,67
FIRE STATION,68
FOREST PRESERVE,69
GARAGE,70
GAS STATION,71
GAS STATION DRIVE/PROP.,72
GOVERNMENT BUILDING / PROPERTY,73
GROCERY FOOD STORE,74
HALLWAY,75
HIGHWAY / EXPRESSWAY,76
HOSPITAL BUILDING / GROUNDS,77
HOTEL,78
HOTEL / MOTEL,79
HOUSE,80
JAIL / LOCK-UP FACILITY,81
LAKEFRONT / WATERFRONT / RIVERBANK,82
LIBRARY,83
LIQUOR STORE,84
MEDICAL / DENTAL OFFICE,85
MOVIE HOUSE / THEATER,86
NURSING / RETIREMENT HOME,87
OFFICE,88
OTHER (SPECIFY),89
OTHER COMMERCIAL TRANSPORTATION,90
OTHER RAILROAD PROPERTY / TRAIN DEPOT,91
PARK PROPERTY,92
PARKING LOT,93
PARKING LOT / GARAGE (NON RESIDENTIAL),94
PAWN SHOP,95
POLICE FACILITY,96
POLICE FACILITY / VEHICLE PARKING LOT,97
POOL ROOM,98
PORCH,99
PUBLIC GRAMMAR SCHOOL,100
RAILROAD PROPERTY,101
RESIDENCE,102
RESIDENCE - GARAGE,103
RESIDENCE - PORCH / HALLWAY,104
RESIDENCE - YARD (FRONT / BACK),105
RESTAURANT,106
RETAIL STORE,107
RIVER BANK,108
SAVINGS AND LOAN,109
SCHOOL - PRIVATE BUILDING,110
SCHOOL - PRIVATE GROUNDS,111
SCHOOL - PUBLIC BUILDING,112
SCHOOL - PUBLIC GROUNDS,113
SCHOOL YARD,114
SIDEWALK,115
SMALL RETAIL STORE,116
SPORTS ARENA / STADIUM,117
STAIRWELL,118
STREET,119
TAVERN,120
TAVERN / LIQUOR STORE,121
TAXICAB,122
TRUCK,123
VACANT LOT,124
VACANT LOT / LAND,125
VEHICLE - COMMERCIAL,126
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,127
VEHICLE - COMMERCIAL: TROLLEY BUS,128
VEHICLE - DELIVERY TRUCK,129
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",130
VEHICLE NON-COMMERCIAL,131
VESTIBULE,132
WAREHOUSE,133
YARD,134
